weight,text,index
0.2436425066238122,"A Teacher’s Ability to Relate Well with Students Versus Excellent Knowledge of the Subject Being Taught According to you, which one is more important between teacher’s ability to relate well with the students and excellent knowledge of the subject being taught?",0
0.21016198596355412,"Having advanced knowledge about the subjects is one of the requirement to be a good teacher.",1
0.20905511183823478,"If the teacher does not know or understand the material that he/she has to teach, then what will he/she teach to his/her students?",2
0.23991907632300696,"The teacher can give wrong information or explanations to the students and it can ruin the children’s knowledge.",3
0.17516703705430484,"It can lead to the poor education.",4
0.2191551188169073,"The teacher may also unable to answer the students’ questions.",5
0.19412119939371636,"That is why having an excellent knowledge of the material being taught is a must for a teacher.",6
0.23197395291708037,"Teacher has to give more information to the students beside the information available in the text books.",7
0.20582265685176904,"He/she should make or help the students to understand the lesson.",8
0.09204084993102968,"That is his/her main responsibility.",9
0.23422085012251334,"Although having advanced knowledge about the subjects is one of the requirement to be a good teacher, a teacher’s skill to make friend with students is more important than excellent knowledge of the subject being taught.",10
0.23545674116188584,"A good teacher should have a great knowledge about the subjects, good attitude and personality, ability to deliver lessons well, ability relate well with student, and skill to evaluate herself or himself and her or his students.",11
0.2361947309513773,"If a teacher has the knowledge about the subject that he or she teaches without a good relationship with the students, the lessons that she or he deliveres will not be received well by the students.",12
0.2168414045047778,"The relationship among them is fundamental because it can affect the mood of the students to learn the subject.",13
0.22734811696580204,"Futhermore, if the students relate well with their teacher, they will enjoy the class and the subject being taught.",14
0.1938382458072986,"It contributes to the students’ likeness or dislikeness toward this lesson.",15
0.23063277810882812,"This motivation will force the students to study hard and to listen to the teacher’s explanations in the class.",16
0.2340570396807402,"By having close relationship with the students, a teacher can be the students’ friend.",17
0.24502753311920822,"The students can talk about anything to the teacher, including their problem in learning, hence the teacher can understand their problems and help them to solve their problems.",18
0.2496510962047671,"If the students do not relate well with the teacher, they will not share their problems to the teacher, so that the teacher does not know the problems that the students face and cannot help them.",19
0.2036098490369674,"It can decrease the performances of the students.",20
